"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	54	0	0	14
"obs2"	54	0	0	14
"obs3"	54	0	0	14
"obs4"	54	0	0	14
"obs5"	54	0	0	14
"obs6"	54	0	0	14
"obs7"	54	0	0	14
"obs8"	54	0	0	14
"obs9"	54	0	0	14
"obs10"	54	0	0	14
"obs11"	54	0	0	14
"obs12"	54	0	0	14
"obs13"	54	0	0	14
"obs14"	54	0	0	14
"4d-5.n5.s4.e4.ds0.05.de0.ov_yes"	53	14	59.9993055555556	14
"4d-2.n2.s3.e1.ds0.05.de0.ov_no"	52	10.5	63.4282738095238	14
"4d-2.n2.s3.e1.ds0.025.de0.ov_no"	51	10.5	63.4282738095238	14
"4d-4.n4.s4.e3.ds0.075.de0.ov_yes"	50	12.25	70.071626984127	14
"4d-4.n4.s4.e2.ds0.1.de0.ov_yes"	49	12.25	74.5001984126984	14
"4d-4.n4.s4.e1.ds0.1.de0.ov_yes"	48	12.25	74.5001984126984	14
"4d-5.n5.s1.e2.ds0.1.de0.ov_no"	47	8.75	88.2147817460317	14
"4d-5.n5.s1.e2.ds0.de0.ov_no"	46	8.75	88.9290674603175	14
"4d-5.n5.s1.e2.ds0.075.de0.ov_no"	45	8.75	88.9290674603175	14
"4d-5.n5.s1.e2.ds0.05.de0.ov_no"	44	8.75	88.9290674603175	14
"4d-5.n5.s1.e2.ds0.025.de0.ov_no"	43	8.75	88.9290674603175	14
"4d-5.n5.s3.e4.ds0.1.de0.ov_yes"	42	12.25	90.4993055555556	14
"4d-6.n6.s3.e3.ds0.1.de0.ov_yes"	41	14	105.893005952381	15
"4d-2.n2.s3.e2.ds0.de0.ov_no"	40	10.5	106.714384920635	13
"4d-5.n5.s4.e3.ds0.05.de0.ov_yes"	39	14	111.821676587302	15
"4d-3.n3.s4.e4.ds0.025.de0.ov_yes"	38	10.5	112.96443452381	15
"4d-3.n3.s4.e1.ds0.075.de0.ov_yes"	37	10.5	114.500198412698	13
"4d-3.n3.s2.e2.ds0.de0.ov_no"	36	10.5	122.678720238095	15
"4d-3.n3.s2.e2.ds0.1.de0.ov_no"	35	10.5	122.678720238095	15
"4d-3.n3.s2.e2.ds0.075.de0.ov_no"	34	10.5	122.678720238095	15
"4d-3.n3.s2.e2.ds0.05.de0.ov_no"	33	10.5	122.678720238095	15
"4d-3.n3.s2.e2.ds0.025.de0.ov_no"	32	10.5	122.678720238095	15
"4d-3.n3.s4.e4.ds0.05.de0.ov_yes"	31	10.5	123.142857142857	13
"4d-6.n6.s3.e4.ds0.1.de0.ov_yes"	30	14	123.214384920635	13
"4d-3.n3.s4.e3.ds0.05.de0.ov_yes"	29	10.5	123.46433531746	15
"4d-2.n2.s3.e1.ds0.075.de0.ov_no"	28	10.5	126.071130952381	13
"4d-5.n5.s4.e2.ds0.075.de0.ov_yes"	27	14	127.857043650794	13
"4d-5.n5.s4.e1.ds0.075.de0.ov_yes"	26	14	127.857043650794	13
"4d-4.n4.s2.e1.ds0.1.de0.ov_no"	25	14	141.321378968254	15
"4d-4.n4.s2.e1.ds0.075.de0.ov_no"	24	14	141.321378968254	15
"4d-4.n4.s2.e1.ds0.05.de0.ov_no"	23	14	141.321378968254	15
"4d-2.n2.s4.e3.ds0.025.de0.ov_yes"	22	8.75	147.678224206349	15
"4d-2.n2.s4.e3.ds0.05.de0.ov_yes"	21	8.75	165.499603174603	13
"4d-4.n4.s4.e4.ds0.075.de0.ov_yes"	20	12.25	181.357242063492	12
"4d-6.n6.s3.e2.ds0.1.de0.ov_yes"	19	14	182.928571428571	16
"4d-6.n6.s3.e1.ds0.1.de0.ov_yes"	18	14	182.928571428571	16
"4d-4.n4.s4.e3.ds0.1.de0.ov_yes"	17	12.25	184.857043650794	12
"4d-3.n3.s4.e3.ds0.075.de0.ov_yes"	16	10.5	184.928670634921	12
"4d-3.n3.s4.e2.ds0.075.de0.ov_yes"	15	10.5	184.928670634921	12
"4d-3.n3.s4.e4.ds0.de0.ov_yes"	14	10.5	187.714583333333	16
"4d-5.n5.s4.e3.ds0.075.de0.ov_yes"	13	14	190.356944444444	12
"4d-5.n5.s4.e4.ds0.025.de0.ov_yes"	12	14	193.714781746032	16
"4d-2.n2.s4.e2.ds0.05.de0.ov_yes"	11	8.75	196.963839285714	15
"4d-2.n2.s4.e1.ds0.05.de0.ov_yes"	10	8.75	196.963839285714	15
"4d-3.n3.s4.e2.ds0.05.de0.ov_yes"	9	10.5	201.714285714286	16
"4d-4.n4.s2.e2.ds0.1.de0.ov_no"	8	14	211.643253968254	12
"4d-4.n4.s2.e2.ds0.075.de0.ov_no"	7	14	211.643253968254	12
"4d-4.n4.s2.e2.ds0.05.de0.ov_no"	6	14	211.643253968254	12
"4d-4.n4.s2.e2.ds0.025.de0.ov_no"	5	14	211.643253968254	12
"4d-4.n4.s2.e2.ds0.de0.ov_no"	4	14	212.143253968254	12
"4d-4.n4.s4.e2.ds0.075.de0.ov_yes"	3	12.25	213.071527777778	16
"4d-4.n4.s4.e1.ds0.075.de0.ov_yes"	2	12.25	213.071527777778	16
"4d-2.n2.s4.e3.ds0.de0.ov_yes"	1	8.75	236.999603174603	16
