"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	21	0	0	14
"obs2"	21	0	0	14
"obs3"	21	0	0	14
"obs4"	21	0	0	14
"obs5"	21	0	0	14
"obs6"	21	0	0	14
"obs7"	21	0	0	14
"obs8"	21	0	0	14
"obs9"	21	0	0	14
"obs10"	21	0	0	14
"obs11"	21	0	0	14
"obs12"	21	0	0	14
"obs13"	21	0	0	14
"obs14"	21	0	0	14
"1d-3.n3.s1.e3.ds0.05.de0.ov_yes"	20	21	65.8576388888889	14
"1d-3.n3.s1.e3.ds0.de0.ov_yes"	19	21	66.3576388888889	14
"1d-3.n3.s1.e3.ds0.1.de0.ov_yes"	18	21	66.3576388888889	14
"1d-3.n3.s1.e3.ds0.025.de0.ov_yes"	17	21	66.3576388888889	14
"1d-3.n3.s1.e3.ds0.075.de0.ov_yes"	16	21	66.8576388888889	14
"1d-2.n2.s2.e2.ds0.075.de0.ov_yes"	15	21	124.928869047619	13
"1d-2.n2.s2.e2.ds0.de0.ov_yes"	14	21	125.749851190476	15
"1d-2.n2.s2.e2.ds0.05.de0.ov_yes"	13	21	127.249851190476	15
"1d-2.n2.s2.e2.ds0.025.de0.ov_yes"	12	21	127.749851190476	15
"1d-3.n3.s1.e2.ds0.05.de0.ov_yes"	11	21	130.10689484127	15
"1d-3.n3.s1.e2.ds0.de0.ov_yes"	10	21	130.60689484127	15
"1d-3.n3.s1.e2.ds0.025.de0.ov_yes"	9	21	130.60689484127	15
"1d-3.n3.s1.e2.ds0.075.de0.ov_yes"	8	21	131.10689484127	15
"1d-3.n3.s1.e2.ds0.1.de0.ov_yes"	7	21	131.60689484127	15
"1d-3.n3.s1.e1.ds0.075.de0.ov_no"	6	21	136.143253968254	13
"1d-3.n3.s1.e1.ds0.de0.ov_no"	5	21	139.143253968254	13
"1d-3.n3.s1.e1.ds0.05.de0.ov_no"	4	21	139.143253968254	13
"1d-3.n3.s1.e1.ds0.025.de0.ov_no"	3	21	139.143253968254	13
"1d-2.n2.s2.e2.ds0.1.de0.ov_yes"	2	21	193.928968253968	12
"1d-3.n3.s1.e1.ds0.1.de0.ov_no"	1	21	211.857738095238	12
