"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	16	0	0	14
"obs2"	16	0	0	14
"obs3"	16	0	0	14
"obs4"	16	0	0	14
"obs5"	16	0	0	14
"obs6"	16	0	0	14
"obs7"	16	0	0	14
"obs8"	16	0	0	14
"obs9"	16	0	0	14
"obs10"	16	0	0	14
"obs11"	16	0	0	14
"obs12"	16	0	0	14
"obs13"	16	0	0	14
"obs14"	16	0	0	14
"1d-1.n1.s2.e2.ds0.025.de0.ov_yes"	15	14	27.7859126984127	14
"1d-1.n1.s2.e2.ds0.025.de0.ov_no"	14	14	27.7859126984127	14
"1d-1.n1.s2.e2.ds0.de0.ov_yes"	13	14	29.428869047619	14
"1d-1.n1.s2.e2.ds0.de0.ov_no"	12	14	29.428869047619	14
"1d-1.n1.s2.e2.ds0.1.de0.ov_yes"	11	14	97.928869047619	13
"1d-1.n1.s2.e2.ds0.1.de0.ov_no"	10	14	97.928869047619	13
"1d-1.n1.s2.e2.ds0.075.de0.ov_yes"	9	14	97.928869047619	13
"1d-1.n1.s2.e2.ds0.075.de0.ov_no"	8	14	97.928869047619	13
"1d-1.n1.s2.e2.ds0.05.de0.ov_yes"	7	14	97.928869047619	13
"1d-1.n1.s2.e2.ds0.05.de0.ov_no"	6	14	97.928869047619	13
"1d-2.n2.s1.e2.ds0.de0.ov_no"	5	14	204.643253968254	12
"1d-2.n2.s1.e2.ds0.1.de0.ov_no"	4	14	204.643253968254	12
"1d-2.n2.s1.e2.ds0.075.de0.ov_no"	3	14	204.643253968254	12
"1d-2.n2.s1.e2.ds0.05.de0.ov_no"	2	14	204.643253968254	12
"1d-2.n2.s1.e2.ds0.025.de0.ov_no"	1	14	204.643253968254	12
