"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	53	0	0	14
"obs2"	53	0	0	14
"obs3"	53	0	0	14
"obs4"	53	0	0	14
"obs5"	53	0	0	14
"obs6"	53	0	0	14
"obs7"	53	0	0	14
"obs8"	53	0	0	14
"obs9"	53	0	0	14
"obs10"	53	0	0	14
"obs11"	53	0	0	14
"obs12"	53	0	0	14
"obs13"	53	0	0	14
"obs14"	53	0	0	14
"2d-6.n6.s1.e4.ds0.1.de0.ov_yes"	52	21	62.4289682539683	14
"2d-5.n5.s1.e1.ds0.025.de0.ov_no"	51	17.5	86.2864087301587	14
"2d-4.n4.s3.e2.ds0.05.de0.ov_yes"	50	21	96.214880952381	14
"2d-4.n4.s3.e2.ds0.025.de0.ov_yes"	49	21	96.214880952381	14
"2d-3.n3.s2.e1.ds0.1.de0.ov_no"	48	21	111.607490079365	15
"2d-3.n3.s2.e1.ds0.075.de0.ov_no"	47	21	112.250347222222	15
"2d-6.n6.s1.e3.ds0.1.de0.ov_yes"	46	21	126.250248015873	15
"2d-5.n5.s2.e3.ds0.075.de0.ov_yes"	45	21	127.464136904762	15
"2d-5.n5.s2.e2.ds0.1.de0.ov_yes"	44	21	130.036160714286	15
"2d-5.n5.s1.e1.ds0.1.de0.ov_no"	43	17.5	130.286408730159	13
"2d-5.n5.s1.e1.ds0.075.de0.ov_no"	42	17.5	130.286408730159	13
"2d-5.n5.s1.e1.ds0.05.de0.ov_no"	41	17.5	130.286408730159	13
"2d-6.n6.s1.e4.ds0.de0.ov_yes"	40	21	130.892708333333	15
"2d-6.n6.s1.e4.ds0.025.de0.ov_yes"	39	21	130.892708333333	15
"2d-6.n6.s1.e4.ds0.05.de0.ov_yes"	38	21	132.749851190476	15
"2d-6.n6.s1.e4.ds0.075.de0.ov_yes"	37	21	133.106994047619	15
"2d-3.n3.s3.e2.ds0.1.de0.ov_yes"	36	17.5	134.964136904762	15
"2d-3.n3.s3.e1.ds0.1.de0.ov_yes"	35	17.5	134.964136904762	15
"2d-3.n3.s4.e2.ds0.de0.ov_yes"	34	21	135.428670634921	13
"2d-5.n5.s1.e1.ds0.de0.ov_no"	33	17.5	140.607589285714	15
"2d-3.n3.s4.e1.ds0.de0.ov_yes"	32	21	141.46443452381	15
"2d-4.n4.s3.e1.ds0.1.de0.ov_yes"	31	21	143.678918650794	15
"2d-4.n4.s3.e2.ds0.1.de0.ov_yes"	30	21	144.643253968254	13
"2d-4.n4.s3.e2.ds0.075.de0.ov_yes"	29	21	145.500396825397	13
"2d-3.n3.s3.e3.ds0.075.de0.ov_yes"	28	17.5	145.963640873016	15
"2d-4.n4.s2.e3.ds0.025.de0.ov_yes"	27	17.5	146.000099206349	13
"2d-4.n4.s2.e3.ds0.de0.ov_yes"	26	17.5	146.857242063492	13
"2d-3.n3.s3.e3.ds0.1.de0.ov_yes"	25	17.5	147.499603174603	13
"2d-3.n3.s2.e1.ds0.05.de0.ov_no"	24	21	190.571825396825	16
"2d-3.n3.s2.e1.ds0.025.de0.ov_no"	23	21	190.571825396825	16
"2d-3.n3.s4.e1.ds0.025.de0.ov_yes"	22	21	194.928571428571	12
"2d-3.n3.s3.e3.ds0.05.de0.ov_yes"	21	17.5	196.428670634921	16
"2d-5.n5.s2.e3.ds0.05.de0.ov_yes"	20	21	207.714484126984	16
"2d-6.n6.s1.e1.ds0.de0.ov_no"	19	21	207.857837301587	12
"2d-6.n6.s1.e1.ds0.05.de0.ov_no"	18	21	207.857837301587	12
"2d-6.n6.s1.e1.ds0.025.de0.ov_no"	17	21	207.857837301587	12
"2d-6.n6.s1.e3.ds0.de0.ov_yes"	16	21	208.500198412698	16
"2d-6.n6.s1.e3.ds0.025.de0.ov_yes"	15	21	208.500198412698	16
"2d-6.n6.s1.e3.ds0.075.de0.ov_yes"	14	21	209.357341269841	16
"2d-6.n6.s1.e3.ds0.05.de0.ov_yes"	13	21	209.714484126984	16
"2d-5.n5.s2.e3.ds0.1.de0.ov_yes"	12	21	215.143154761905	12
"2d-4.n4.s2.e3.ds0.1.de0.ov_yes"	11	17.5	217.28621031746	12
"2d-4.n4.s2.e3.ds0.075.de0.ov_yes"	10	17.5	217.28621031746	12
"2d-4.n4.s2.e3.ds0.05.de0.ov_yes"	9	17.5	217.28621031746	12
"2d-3.n3.s3.e4.ds0.de0.ov_yes"	8	17.5	219.929067460317	12
"2d-4.n4.s3.e1.ds0.075.de0.ov_yes"	7	21	224.500396825397	16
"2d-5.n5.s2.e4.ds0.025.de0.ov_yes"	6	21	225.214285714286	12
"2d-5.n5.s2.e4.ds0.de0.ov_yes"	5	21	226.571428571429	12
"2d-5.n5.s1.e4.ds0.025.de0.ov_yes"	4	17.5	226.857142857143	12
"2d-5.n5.s1.e4.ds0.05.de0.ov_yes"	3	17.5	227.214285714286	12
"2d-5.n5.s2.e4.ds0.05.de0.ov_yes"	2	21	227.571428571429	12
"2d-5.n5.s1.e4.ds0.de0.ov_yes"	1	17.5	228	12
