"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	38	0	0	14
"obs2"	38	0	0	14
"obs3"	38	0	0	14
"obs4"	38	0	0	14
"obs5"	38	0	0	14
"obs6"	38	0	0	14
"obs7"	38	0	0	14
"obs8"	38	0	0	14
"obs9"	38	0	0	14
"obs10"	38	0	0	14
"obs11"	38	0	0	14
"obs12"	38	0	0	14
"obs13"	38	0	0	14
"obs14"	38	0	0	14
"2d-2.n2.s2.e1.ds0.075.de0.ov_no"	37	14	71.3574404761905	14
"2d-3.n3.s1.e2.ds0.1.de0.ov_no"	36	10.5	72.000496031746	14
"2d-3.n3.s1.e2.ds0.075.de0.ov_no"	35	10.5	72.6433531746032	14
"2d-3.n3.s1.e2.ds0.05.de0.ov_no"	34	10.5	72.6433531746032	14
"2d-3.n3.s1.e2.ds0.025.de0.ov_no"	33	10.5	72.6433531746032	14
"2d-3.n3.s1.e2.ds0.de0.ov_no"	32	10.5	74.000496031746	14
"2d-2.n2.s3.e2.ds0.025.de0.ov_yes"	31	14	92.6430555555555	14
"2d-2.n2.s2.e1.ds0.05.de0.ov_no"	30	14	119.964037698413	15
"2d-2.n2.s2.e1.ds0.025.de0.ov_no"	29	14	119.964037698413	15
"2d-4.n4.s1.e4.ds0.1.de0.ov_yes"	28	14	134.857837301587	14
"2d-4.n4.s1.e4.ds0.075.de0.ov_yes"	27	14	135.500694444444	14
"2d-4.n4.s1.e4.ds0.05.de0.ov_yes"	26	14	136.357837301587	14
"2d-4.n4.s1.e4.ds0.025.de0.ov_yes"	25	14	136.357837301587	14
"2d-4.n4.s1.e4.ds0.de0.ov_yes"	24	14	136.857837301587	14
"2d-2.n2.s2.e1.ds0.1.de0.ov_no"	23	14	146.42876984127	13
"2d-2.n2.s3.e2.ds0.075.de0.ov_yes"	22	14	152.643452380952	13
"2d-2.n2.s3.e2.ds0.05.de0.ov_yes"	21	14	153.000595238095	13
"2d-3.n3.s1.e4.ds0.1.de0.ov_yes"	20	10.5	169.643551587302	13
"2d-3.n3.s1.e4.ds0.075.de0.ov_yes"	19	10.5	169.643551587302	13
"2d-3.n3.s1.e4.ds0.05.de0.ov_yes"	18	10.5	169.643551587302	13
"2d-3.n3.s1.e4.ds0.de0.ov_yes"	17	10.5	172.000694444444	13
"2d-3.n3.s1.e4.ds0.025.de0.ov_yes"	16	10.5	172.000694444444	13
"2d-2.n2.s3.e3.ds0.de0.ov_yes"	15	14	189.357043650794	12
"2d-2.n2.s2.e3.ds0.1.de0.ov_yes"	14	10.5	200.071527777778	16
"2d-2.n2.s2.e3.ds0.075.de0.ov_yes"	13	10.5	200.071527777778	16
"2d-2.n2.s3.e1.ds0.075.de0.ov_yes"	12	14	202.322073412698	15
"2d-1.n1.s3.e1.ds0.de0.ov_yes"	11	10.5	203.14255952381	12
"2d-1.n1.s3.e1.ds0.de0.ov_no"	10	10.5	203.14255952381	12
"2d-2.n2.s2.e2.ds0.de0.ov_no"	9	14	203.643353174603	12
"2d-2.n2.s3.e2.ds0.de0.ov_yes"	8	14	210.856845238095	16
"2d-3.n3.s2.e4.ds0.1.de0.ov_yes"	7	14	211.071726190476	12
"2d-3.n3.s2.e4.ds0.075.de0.ov_yes"	6	14	220.85753968254	12
"2d-3.n3.s2.e4.ds0.05.de0.ov_yes"	5	14	221.35753968254	12
"2d-3.n3.s2.e4.ds0.de0.ov_yes"	4	14	221.571924603175	12
"2d-3.n3.s2.e4.ds0.025.de0.ov_yes"	3	14	221.571924603175	12
"2d-2.n2.s3.e1.ds0.05.de0.ov_yes"	2	14	244.214384920635	16
"2d-2.n2.s3.e1.ds0.1.de0.ov_yes"	1	14	245.714880952381	13
