"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	12	0	0	14
"obs2"	12	0	0	14
"obs3"	12	0	0	14
"obs4"	12	0	0	14
"obs5"	12	0	0	14
"obs6"	12	0	0	14
"obs7"	12	0	0	14
"obs8"	12	0	0	14
"obs9"	12	0	0	14
"obs10"	12	0	0	14
"obs11"	12	0	0	14
"obs12"	12	0	0	14
"obs13"	12	0	0	14
"obs14"	12	0	0	14
"4d-5.n5.s2.e1.ds0.de0.ov_no"	11	17.5	122.78630952381	14
"4d-5.n5.s2.e1.ds0.025.de0.ov_no"	10	17.5	122.78630952381	14
"4d-5.n5.s2.e1.ds0.075.de0.ov_no"	9	17.5	146.357738095238	13
"4d-5.n5.s2.e1.ds0.05.de0.ov_no"	8	17.5	146.357738095238	13
"4d-6.n6.s2.e1.ds0.de0.ov_no"	7	21	161.000595238095	13
"4d-6.n6.s4.e4.ds0.05.de0.ov_yes"	6	15.75	203.785317460317	16
"4d-5.n5.s2.e1.ds0.1.de0.ov_no"	5	17.5	210.500595238095	12
"4d-6.n6.s2.e1.ds0.1.de0.ov_no"	4	21	222.572023809524	12
"4d-6.n6.s2.e1.ds0.075.de0.ov_no"	3	21	222.572023809524	12
"4d-6.n6.s2.e1.ds0.05.de0.ov_no"	2	21	222.572023809524	12
"4d-6.n6.s2.e1.ds0.025.de0.ov_no"	1	21	222.572023809524	12
