"surgeset_id"	"category"	"time_to_id_days"	"match_cost_days_per_surge"	"surge_count"
"obs1"	21	0	0	14
"obs2"	21	0	0	14
"obs3"	21	0	0	14
"obs4"	21	0	0	14
"obs5"	21	0	0	14
"obs6"	21	0	0	14
"obs7"	21	0	0	14
"obs8"	21	0	0	14
"obs9"	21	0	0	14
"obs10"	21	0	0	14
"obs11"	21	0	0	14
"obs12"	21	0	0	14
"obs13"	21	0	0	14
"obs14"	21	0	0	14
"4d-1.n1.s3.e3.ds0.075.de0.ov_yes"	20	5.25	38.7854166666667	14
"4d-1.n1.s3.e3.ds0.075.de0.ov_no"	19	5.25	38.7854166666667	14
"4d-1.n1.s3.e3.ds0.05.de0.ov_yes"	18	5.25	38.7854166666667	14
"4d-1.n1.s3.e3.ds0.05.de0.ov_no"	17	5.25	38.7854166666667	14
"4d-1.n1.s3.e3.ds0.025.de0.ov_yes"	16	5.25	41.2854166666667	14
"4d-1.n1.s3.e3.ds0.025.de0.ov_no"	15	5.25	41.2854166666667	14
"4d-2.n2.s3.e4.ds0.1.de0.ov_yes"	14	7	74.2857142857143	14
"4d-2.n2.s3.e4.ds0.075.de0.ov_yes"	13	7	133.606994047619	15
"4d-3.n3.s1.e3.ds0.de0.ov_no"	12	5.25	163.071825396825	13
"4d-3.n3.s1.e3.ds0.1.de0.ov_no"	11	5.25	163.071825396825	13
"4d-3.n3.s1.e3.ds0.075.de0.ov_no"	10	5.25	163.071825396825	13
"4d-3.n3.s1.e3.ds0.05.de0.ov_no"	9	5.25	163.071825396825	13
"4d-3.n3.s1.e3.ds0.025.de0.ov_no"	8	5.25	163.071825396825	13
"4d-1.n1.s3.e3.ds0.1.de0.ov_yes"	7	5.25	184.714087301587	12
"4d-1.n1.s3.e3.ds0.1.de0.ov_no"	6	5.25	184.714087301587	12
"4d-1.n1.s3.e3.ds0.de0.ov_yes"	5	5.25	198.428075396825	16
"4d-1.n1.s3.e3.ds0.de0.ov_no"	4	5.25	198.428075396825	16
"4d-2.n2.s3.e4.ds0.de0.ov_yes"	3	7	204.428571428571	16
"4d-2.n2.s3.e4.ds0.025.de0.ov_yes"	2	7	204.428571428571	16
"4d-2.n2.s3.e4.ds0.05.de0.ov_yes"	1	7	205.5	16
